country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,numberHotTasks
Tunisia ,TUN,10175014,163610,62.19,71444.29021,0,0,0,52242,0
Turkey ,TUR,70413958,780580,90.21,565223.3111,150,469426.3867,5203.866667,308704,2
Turkmenistan ,TKM,5042920,488100,10.33,29526.25426,5,1008584,97620,19068,0
Turks & Caicos Is ,TCA,21152,430,49.19,815.0668043,0,0,0,1357,0
Tuvalu ,TUV,11810,26,454.23,78.0591922,0,0,0,261,2
Uganda ,UGA,28195754,236040,119.45,75488.3312,0,0,0,333619,17
Ukraine ,UKR,46710816,603700,77.37,591484.2567,329,141978.1641,1834.954407,2568228,1
United Arab Emirates ,ARE,2602713,82880,31.4,51108.20352,0,0,0,53290,0
United Kingdom ,GBR,60609153,244820,247.57,493560.414,839,72239.75328,291.7997616,4273192,0
United States Minor Outlying Islands,UMI,300,34.2,8.77,41.80129329,0,0,0,133,0
United States ,USA,298444215,9631420,30.99,9860173.107,4777.3,62471.31539,2016.080213,14850866,3
Uruguay ,URY,3431932,176220,19.48,64741.83718,17.9,191728.0447,9844.692737,6032,0
Uzbekistan ,UZB,27307134,447400,61.04,114183.6,24.6,1110046.098,18186.99187,118079,0
Vanuatu ,VUT,208869,12200,17.12,3444.839115,0,0,0,96150,5
Venezuela ,VEN,25730435,912050,28.21,102099.1325,0,0,0,45687,2
Vietnam ,VNM,84402966,329560,256.11,104505.756,27.1,3114500.59,12160.88561,34788,7
Virgin Islands ,VIR,108605,1910,56.86,446.0687743,0,0,0,4265,0
Wallis and Futuna ,WLF,16025,274,58.49,273.0424534,0,0,0,3661,0
West Bank ,0,2460492,5860,419.88,0,0,0,0,25067,0
Yemen ,YEM,21456188,527970,40.64,33380.92201,6.8,3155321.765,77642.64706,6585,0
Zambia ,ZMB,11502010,752614,15.28,60385.53635,0,0,0,345660,13
Zimbabwe ,ZWE,12236805,390580,31.33,82821.46169,0,0,0,248156,8
