country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,popPerBuilding,numHotTasks
Thailand ,THA,64631595,514000,125.74,316732.088,71,910304.1549,7239.43662,104750,617.0080668,0
Timor-Leste,TLS,1201542,15410,77.97,4055.857985,2.6,462131.5385,5926.923077,13113,91.62983299,1
Togo ,TGO,5548702,56785,97.71,22666.06849,18.6,298317.3118,3052.956989,288018,19.26512232,19
Tokelau,TKL,1411,10,141.1,2.437294186,0.00019455,7252650.667,51400.78431,111,12.71171171,0
Tonga ,TON,114689,748,153.33,2105.493524,0.000195503,586634794.5,3826023.649,3200,35.8403125,0
Trinidad & Tobago ,TTO,1065842,5128,207.85,10914.37208,7.9,134916.7089,649.1139241,6665,159.9162791,1
Tunisia ,TUN,10175014,163610,62.19,71444.29021,19.7,516498.1726,8305.076142,52242,194.7669308,0
Turkey ,TUR,70413958,780580,90.21,565223.3111,150,469426.3867,5203.866667,308704,228.0953859,2
Turkmenistan ,TKM,5042920,488100,10.33,29526.25426,5,1008584,97620,19068,264.4703168,0
Turks & Caicos Is ,TCA,21152,430,49.19,815.0668043,0.1796875,117715.4783,2393.043478,1357,15.58732498,0
Tuvalu ,TUV,11810,26,454.23,78.0591922,0.004882813,2418688,5324.8,261,45.24904215,2
Uganda ,UGA,28195754,236040,119.45,75488.3312,25.7,1097111.051,9184.435798,333619,84.51483279,17
Ukraine ,UKR,46710816,603700,77.37,591484.2567,329,141978.1641,1834.954407,2568228,18.18795527,1
United Arab Emirates ,ARE,2602713,82880,31.4,51108.20352,14.2,183289.6479,5836.619718,53290,48.8405517,0
United Kingdom ,GBR,60609153,244820,247.57,493560.414,839,72239.75328,291.7997616,4273192,14.18357822,0
United States Minor Outlying Islands,UMI,300,34.2,8.77,41.80129329,0,0,0,133,2.255639098,0
United States ,USA,298444215,9631420,30.99,9860173.107,4777.3,62471.31539,2016.080213,14850866,20.0960816,3
Uruguay ,URY,3431932,176220,19.48,64741.83718,17.9,191728.0447,9844.692737,6032,568.954244,0
Uzbekistan ,UZB,27307134,447400,61.04,114183.6,24.6,1110046.098,18186.99187,118079,231.2615622,0
Vanuatu ,VUT,208869,12200,17.12,3444.839115,3.1,67377.09677,3935.483871,96150,2.172324493,5
Venezuela ,VEN,25730435,912050,28.21,102099.1325,27.1,949462.5461,33654.98155,45687,563.1894193,2
Vietnam ,VNM,84402966,329560,256.11,104505.756,27.1,3114500.59,12160.88561,34788,2426.20921,7
Virgin Islands ,VIR,108605,1910,56.86,446.0687743,0.81640625,133028.134,2339.521531,4265,25.46424385,0
Wallis and Futuna ,WLF,16025,274,58.49,273.0424534,0.000195503,81967953.17,1401511.337,3661,4.377219339,0
West Bank ,0,2460492,5860,419.88,0,0,0,0,25067,98.15662026,0
Western Sahara,ESH,586000,266000,2.2,0,1.5,390666.6667,177333.3333,1599,366.48,0
Yemen ,YEM,21456188,527970,40.64,33380.92201,6.8,3155321.765,77642.64706,6585,3258.342901,0
Zambia ,ZMB,11502010,752614,15.28,60385.53635,23.1,497922.5108,32580.69264,345660,33.27550194,13
